hotel_id,longitude,latitude
163,106.678101,10.787597
902,106.706797,10.778689
2019,108.369757,15.895125
3274,106.668122,10.799623
9195,106.706283,10.774478
9698,108.437042,11.942183
10943,105.78885,10.034633
10944,105.786925,10.032614
10945,105.793319,10.03926
10947,105.12422,10.708119
10949,108.440453,11.937287
10950,108.438934,11.936538
10951,108.219727,16.063019
10953,108.249839,16.040144
10955,106.689359,20.864005
10960,105.812529,21.030398
10961,105.828728,21.02985
10963,105.842328,21.017454
10964,105.855667,21.025621
10965,105.848198,21.024511
10966,105.839839,21.04981
10967,105.857285,21.016378
10969,106.703757,10.775238
10971,106.703651,10.776302
10972,106.70269,10.776898
10973,106.688736,10.771889
10974,106.705345,10.774223
10975,106.679303,10.763441
10976,106.702332,10.784155
10977,106.704376,10.775096
10978,106.703259,10.774414
10979,106.705849,10.773193
10981,106.694654,10.771002
10983,106.673288,10.79656
10984,106.703255,10.774395
10985,106.703478,10.774324
10987,106.692291,10.768134
10989,106.701594,10.775428
10990,106.706252,10.773774
10991,106.704241,10.773001
10992,106.690498,10.774975
10993,106.691613,10.767956
10995,108.343901,15.880715
10996,108.367332,15.896595
10997,108.330645,15.880294
10998,108.326317,15.880629
10999,107.593848,16.470469
11001,107.590485,16.467067
11002,107.594776,16.471903
11004,109.192105,12.082017
11005,109.196205,12.241484
11006,109.194832,12.242568
11007,109.196066,12.249085
11008,108.198898,10.945426
11010,108.119263,10.928593
11012,108.176258,10.936878
11013,103.960973,10.208263
11014,103.843085,22.337136
11015,107.075928,10.342858
11016,107.075018,10.349212
11017,107.07225,10.348209
12132,106.704071,10.775743
43382,109.219118,13.756481
43384,105.789467,10.035425
43387,108.224854,16.068738
43397,105.818793,21.022665
43399,105.821667,21.027688
43401,105.853935,21.02202
43402,105.859459,21.021982
43407,105.848317,21.031655
43411,106.69339,10.768606
43413,107.59259,16.465359
43417,105.970688,20.257124
43419,108.20383,10.947532
43424,108.221207,16.082348
43425,106.684249,20.861776
43427,107.038636,20.950919
43428,105.845825,21.042055
43433,108.202442,10.94745
43435,109.232769,13.681349
43436,103.842119,22.332858
48362,108.300122,10.944879
48363,109.195797,12.250667
48364,105.831589,21.059647
48367,108.336502,15.877181
48368,108.19545,10.943793
48369,108.194014,10.942056
48370,103.943238,10.255423
49251,106.673436,10.75786
50099,106.671791,10.753126
50101,108.365766,15.897123
50103,107.018478,20.95648
50107,108.342621,15.880322
50113,108.349202,15.885171
50114,106.659239,10.795989
50115,107.039581,20.950899
50120,107.019745,20.95624
52020,108.168747,10.933955
52042,109.276714,12.359559
52043,107.594902,16.468998
52044,107.062263,20.960468
52045,105.8106,21.024401
52048,108.374481,15.892927
52067,105.784798,10.031013
52069,107.590744,16.465651
52070,105.833252,21.056269
52077,108.324508,15.874256
52082,106.699928,10.770851
52086,108.325885,15.880609
64307,105.847701,21.033852
64309,105.847147,21.035276
64310,105.853699,21.033865
65099,105.856522,21.019673
65102,107.051193,20.720926
65104,105.466473,20.754797
65106,105.738669,20.253652
65107,108.360846,15.899973
65109,108.197303,10.945362
65110,108.198241,10.944784
65116,107.580212,16.459073
65117,107.594772,16.469999
65153,109.246292,12.221522
65491,106.699608,10.784176
65492,106.702988,10.789603
65493,105.846291,21.025728
66349,108.270907,15.996996
66351,107.088516,10.331364
66722,107.06266,20.960619
70177,106.703514,10.777704
70335,105.817627,21.027889
70425,103.964218,10.193092
70624,107.591888,16.46611
71641,108.352011,15.888242
73270,103.843672,22.332407
73275,108.222061,16.05018
73276,108.162522,10.932059
73277,107.980014,10.709206
73279,109.027804,11.581283
73281,109.214058,13.746117
73282,103.022103,21.40077
73303,106.66465,10.752039
73308,108.459856,11.945136
73310,109.234453,13.770482
73497,108.423973,11.943829
74040,107.594908,16.470105
75222,109.195648,12.235885
75223,108.237338,10.954679
75224,105.67381,18.671458
75225,105.722971,18.808779
75229,106.626526,17.465584
77443,105.847338,21.033873
81748,105.846107,21.039601
85643,105.845764,21.042049
90770,105.848292,21.028413
90776,105.831917,21.05899
91721,105.842789,21.042662
96572,103.963371,10.198799
96577,108.20825,10.950072
96578,108.201645,10.946695
96580,108.166878,10.93248
96584,106.692726,10.768152
96585,106.693832,10.770506
96605,108.223907,16.063457
97221,105.851219,21.032473
97253,105.84615,21.029651
98964,105.820694,21.044125
99006,107.589066,16.462467
104896,105.852003,21.03473
108217,107.594749,16.465488
108218,107.052176,20.717624
108257,105.795143,21.046135
108278,108.191849,10.941292
108286,107.041969,20.951851
108436,107.602615,16.462009
108455,109.200252,12.163373
108511,108.187512,10.936181
108643,105.847832,21.032015
108649,105.844032,21.04274
108901,106.697738,20.817049
108920,109.237327,12.178703
109086,105.849869,21.036922
109119,109.196526,12.237739
109160,105.848976,21.029572
109162,106.70372,10.780318
109223,109.198288,12.230157
109280,106.690968,10.76575
111234,105.849213,21.030994
111544,105.844281,21.024684
119832,105.848862,21.031534
148661,103.931007,10.262729
148680,106.704058,10.779001
148705,106.703812,10.771802
148706,106.697629,10.771739
148717,106.696602,10.773393
148730,106.694112,10.771472
148960,106.705181,10.777494
148981,108.3377,15.878693
149036,108.216454,16.060394
149038,108.014401,13.972663
149067,106.693123,10.782525
149149,108.254402,10.950603
149150,109.291542,13.167109
159164,105.853821,21.032042
159176,106.679478,10.771971
159186,106.696718,10.774519
159223,105.852631,21.036392
161500,106.709618,10.731906
161506,108.294998,16.105976
161611,107.593315,16.465046
161613,106.705776,10.7773
161666,105.849815,21.031115
161676,105.841736,21.02614
161677,107.593241,16.469423
161693,108.22467,16.067476
161717,108.219864,16.065872
161729,107.09507,10.344135
161742,106.696947,10.77352
161750,106.689348,10.770917
161765,105.849604,21.030744
161806,105.850502,21.015772
161820,108.326204,15.880466
161822,105.850471,21.030201
161839,108.220154,16.067385
161853,105.854438,21.032241
161962,108.219231,16.064095
164672,106.689998,10.771425
164684,106.690394,10.772037
165221,107.595894,16.467983
165226,108.067145,12.694938
165247,106.698811,10.773668
165281,105.8486,21.029056
165297,106.727543,10.821672
165362,109.196144,12.231193
165383,107.594406,16.470621
165452,109.200432,12.278458
165454,106.70311,10.778931
165479,109.191872,12.253163
165511,106.70031,10.781024
165512,106.699814,10.781486
165689,109.288795,12.428488
165709,109.193794,12.236621
167455,108.258848,10.949234
167463,105.826836,21.064317
168927,108.052468,10.865652
168940,109.198864,12.227484
168950,106.696987,10.774206
168979,109.294052,13.083202
168993,108.44017,11.942559
168995,106.704544,10.776777
169047,106.696633,10.771676
169080,106.920061,10.386984
172335,106.692786,10.787031
173590,107.594521,16.468508
173618,106.696922,10.774132
173622,106.682846,10.769188
173625,106.689501,10.771015
173628,108.214474,10.952484
174450,106.696738,10.774577
174464,105.849184,21.033748
174466,107.859573,16.287515
178074,109.19974,12.227562
178091,105.844678,21.028701
178099,105.856389,21.030563
178114,105.85497,21.03159
178195,107.081434,10.326572
178218,106.696175,10.77313
178219,106.696968,10.773989
178221,106.704768,10.779165
178236,108.213658,10.952247
178257,108.015278,10.752222
178263,109.196178,12.237513
178283,108.327904,15.887595
179072,106.690957,10.767655
179077,108.429356,11.9392
179080,108.436528,11.940785
179092,108.43257,11.935537
181769,107.593929,16.470709
181774,105.852323,21.033959
181788,108.246043,16.039931
181813,103.961687,10.203929
181816,103.962486,10.206222
182145,105.938072,20.219113
182160,107.050416,20.715507
182164,107.088509,10.331018
182167,108.251114,16.041094
